ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2018,SP,DEPUTADO FEDERAL,AZAEL RODRIGUES VIEIRA,AZAEL JUNIOR,APTO,DEFERIDO,PARTIDO ISOLADO,MDB,PARTIDO ISOLADO,BRASILEIRA NATA,SP,30/07/1970,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,MG,DEPUTADO FEDERAL,HÉLIO LOPES DE OLIVEIRA FILHO,HELIO LOPES,APTO,DEFERIDO,PARTIDO ISOLADO,NOVO,PARTIDO ISOLADO,BRASILEIRA NATA,MG,06/12/1954,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SE,DEPUTADO FEDERAL,GIVALDO HENRIQUE DE JESUS SILVA,GIVALDO SILVA,APTO,DEFERIDO,COLIGAÇÃO,PV,DIGNIDADE PARA O POVO,BRASILEIRA NATA,SE,31/03/1966,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,WALLACE DO SACRAMENTO,WALLACE SACRA,APTO,DEFERIDO,PARTIDO ISOLADO,PHS,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,06/03/1976,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,2500000,SUPLENTE,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,CAIO CESAR MIRABELLI,CAIO MIRABELLI,APTO,DEFERIDO,PARTIDO ISOLADO,PPL,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,25/06/1990,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,FLAVIO BARBOSA CAVALCANTI JUNIOR,FLAVIO CAVALCANTI JR,APTO,DEFERIDO,COLIGAÇÃO,PPS,O RIO TEM JEITO,BRASILEIRA NATA,RJ,03/09/1950,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,ANA LUCIA PECORARO,ANA PECORARO,APTO,DEFERIDO,PARTIDO ISOLADO,PV,PARTIDO ISOLADO,BRASILEIRA NATA,SP,27/10/1961,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,MA,DEPUTADO FEDERAL,RAIMUNDO MOURA CARVALHO,RAIMUNDO CARVALHO,APTO,DEFERIDO,COLIGAÇÃO,PTB,TODOS PELO MARANHÃO 1,BRASILEIRA NATA,MA,01/11/1961,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,2500000,SUPLENTE,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,MARLON CRISTIANO DA SILVA IQUEDA,MARLON IQUEDA,APTO,DEFERIDO,COLIGAÇÃO,PMB,POR UM RIO MAIS HONESTO,BRASILEIRA NATA,RJ,31/03/1973,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,PR,DEPUTADO FEDERAL,DENNIS BENAGLIA MUNHOZ,PASTOR DENNIS MUNHOZ,APTO,DEFERIDO,COLIGAÇÃO,PSD,MUDA PARANÁ,BRASILEIRA NATA,SP,15/10/1960,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,PR,DEPUTADO FEDERAL,RAFAEL MARIANTE SALLET,RAFAEL SALLET,APTO,DEFERIDO,COLIGAÇÃO,PPL,Coligação do bem e da verdade para mudar o Paraná,BRASILEIRA NATA,RS,18/07/1981,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,SC,DEPUTADO FEDERAL,IVAN GRACIANO,IVAN GRACIANO,APTO,DEFERIDO,COLIGAÇÃO,AVANTE,PARA CRESCER COM SANTA CATARINA,BRASILEIRA NATA,SC,21/09/1972,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,MS,DEPUTADO FEDERAL,FABIO RICARDO TRAD,FABIO TRAD,APTO,DEFERIDO,COLIGAÇÃO,PSD,AVANÇAR COM RESPONSABILIDADE IV,BRASILEIRA NATA,MS,18/08/1969,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,ELEITO,S,DEFERIDO
